Country Name,Country Code,Series Name,Series Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.01,0.01,0.01,0.021977138,0.179634586,0.959755898,0.776536942,6.267393589,11.75196648,17.23631859,23,28.2286129,33.74868011,42.4,44.8548851,42.7,43.22201891,69.1,67.259552,89.5,71.5
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,100.5101185,101.2949461,102.0432616,102.595062,102.9758786,103.3263601,102.9277729,102.1539589,101.2004851,100.1590303,99.01183094,99.63202905,100.2310231,100.6564961,100.7408126,100.4064115,98.73075897,96.52858984,94.00173412,91.37620486,88.76872734
Afghanistan,AFG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,0.015899882,0.060852259,0.118134128,0.20881807,0.302449532,0.452438934,0.532063581,0.620062869,0.642222417,0.712434095,0.758811362,0.929836663
Afghanistan,AFG,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,34.45199966,31.59600067,32.73699951,33.78099823,34.75500107,35.73600006,36.91400146,36.36399841,31.86000061,31.62899971,31.65099907,30.71699905,29.86300087,28.86100006,28.00300026,26.34199905,25.93899918,25.30500031,25.07900047,25.3409996,25.71999931
Afghanistan,AFG,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,0.888999999,1.049000025,0.950999975,0.861000001,0.779999971,0.700999975,0.620999992,0.660000026,0.882000029,0.853999972,0.851000011,0.893999994,0.938000023,0.977999985,1.087000012,1.205000043,1.235999942,1.284000039,1.317000031,1.302000046,1.264000058
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,78.69499969,78.9280014,79.20400238,79.30000305,79.29100037,79.16300201,78.89800262,74.50700378,73.73600006,71.6989975,71.75900269,70.60500336,69.3789978,67.2460022,67.03700256,64.49900055,62.77099991,61.68299866,61.51300049,61.63000107,61.13199997
Afghanistan,AFG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,4.061999798,4.421000004,4.626999855,4.909999847,5.31400013,5.881999969,6.460999966,5.787000179,5.857999802,6.602000237,6.566999912,6.714000225,7.09100008,6.962999821,6.105000019,6.110000134,6.374000072,6.297999859,6.355000019,6.493000031,6.723999977
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,32.38671874,43.55686929,33.99649426,27.39525556,26.47029266,17.82371427,17.99297469,14.70758895,10.02384975,6.107274005,5.516850325,6.307895036,6.567700049,7.002116918
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,3.900574875,2.690521948,1.310040404
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,12.68626872,7.254895561,8.482889268,30.55494061,-8.283078395,0.892536936,10.20166014,7.218257761,7.654316567,4.604334009,-1.533846583
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,4631347,4801781,4924653,5032304,5162557,5336840,5606987,5934968,6292828,6644955,6969404,7133722,7264788,7390836,7549815,7766590,8126681,8560749,9051268,9567711,10087598
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.74111938,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,17099541,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,6.883364339,5.229755775,6.039428306,8.434997714,9.123651121,8.854568097,7.471638846,7.081350026,6.842385662,7.553269089
Afghanistan,AFG,"Total employment, total (ages 15+)",SL.EMP.TOTL,4228323,4266983,4377660,4478074,4591128,4740034,4957422,5419156,5735695,5980296,6378991,6487677,6697893,6743809,7043625,7159144,7457762,7881429,8286322,8734840,9193492
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,64.20407396,63.15929342,62.24263416,61.41261643,60.55838436,59.58581398,58.56796352,57.44588622,56.24238929,55.02213732,53.82131412,52.61447308,51.62142045,50.79122424,50.10562445,49.5647611,48.10245252,46.82006398,45.67580378,44.71133907,44.01664386
Albania,ALB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,4.225089756,9.257525917,13.86881387,19.36159077,28.62652837,32.94143585,34.13679133,35.26453403,35.67920024,35.30690469,34.55312462,34.9792158
Albania,ALB,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,40.95600128,33.61500168,24.10099983,33.24100113,33.9679985,30.32500076,30.26000023,28.21699905,28.47599983,28.26000023,28.02400017,27.99500084,27.76399994,28.78499985,28.47100067,26.04400063,31.10300064,37.03099823,33.52999878,32.22100067,29.64999962
Albania,ALB,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,1.66900003,2.628999949,2.224999905,2.592000008,2.765000105,2.703999996,2.801000118,2.713999987,2.724999905,2.73300004,2.700999975,2.690000057,2.683000088,1.815000057,1.495000005,1.598999977,1.911999941,1.570000052,1.756000042,1.975999951,2.400000095
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,70.25499725,66.65000153,64.60900116,65.23899841,63.45500183,61.50600052,59.99300003,58.63100052,57.52700043,55.88499832,53.96300125,52.31600189,47.9129982,47.22499847,44.04999924,43.90100098,45.39300156,47.43500137,44.8030014,42.88999939,41.36600113
Albania,ALB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,15.25500011,14.77600002,16.13599968,14.70100021,14.68400002,16.03199959,16.87800026,17.64999962,18.79400063,19.32299995,19.86700058,20.51000023,18.69799995,20.83699989,19.94300079,19.375,18.86100006,16.54299927,17.1989994,17.52300072,18.61300087
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.47537426,11.19576721,9.745654295,10.84430291,15.81673104,17.86708402,18.43157108,19.59887427,20.35591091,21.98293641,22.82407356,24.93399552,28.08422195,25.30240492,25.24073764,27.97947124,29.24150073,28.93748649,28.91635405,28.21297879,27.26738418
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.29999999,9.100000008,-10.83785574,9.00885254,13.50117338,6.666620499,7.940331425,4.231371018,5.773490561,5.709556596,5.720819947,5.431012739,5.9,3.760853683,3.352610243,3.710057793,2.55016086,1.419967541,1.0007546,1.774368743,2.218752054
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.793218538,12.72547781,33.18027438,20.64285887,0.389437654,0.050018136,3.10758827,7.770525834,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.359242418,2.280502222,3.552267388,3.450347153,2.03159594,1.937617549,1.631777988,1.910016978
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,1357669,1353847,1368603,1363892,1354626,1350697,1338328,1338094,1319856,1301290,1282212,1266919,1250632,1234727,1226713,1225744,1271832,1325041,1249102,1275842,1333035
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,98.71298218,..,..,..,..,..,..,95.93863678,..,..,96.84529877,97.24697113,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,13.42276821,8.553602234,9.479292857,13.70163251,..,..,..,16.16084313,16.79084231,17.64535942,..,..,..,..,..,..,18.02201217,17.4832337,16.50327506,18.30194096,18.51578986
