,Country Name,Country Code,Year,Access to electricity (% of population),Age dependency ratio (% of working-age population),"Automated teller machines (ATMs) (per 100,000 adults)","Contributing family workers, total (% of total employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Exports of goods and services (% of GDP),GDP growth (annual %),"Inflation, consumer prices (annual %)","Labor force, total","Literacy rate, adult total (% of people ages 15 and above)","Population, total",Tax revenue (% of GDP),"Total employment, total (ages 15+)"
0,Afghanistan,AFG,1995,0.01,100.5101185,61.014200824327816,34.45199966,0.888999999,78.69499969,4.061999798,39.23247462297544,3.961799475392055,52.944849960786854,4631347.0,81.3130004337143,17099541.0,16.72065298935484,4228323.0
1,Afghanistan,AFG,1996,0.01,101.2949461,61.014200824327816,31.59600067,1.049000025,78.9280014,4.421000004,39.23247462297544,3.961799475392055,52.944849960786854,4801781.0,81.3130004337143,17822884.0,16.72065298935484,4266983.0
2,Afghanistan,AFG,1997,0.01,102.0432616,61.014200824327816,32.73699951,0.950999975,79.20400238,4.626999855,39.23247462297544,3.961799475392055,52.944849960786854,4924653.0,81.3130004337143,18381605.0,16.72065298935484,4377660.0
3,Afghanistan,AFG,1998,0.021977138,102.595062,61.014200824327816,33.78099823,0.861000001,79.30000305,4.909999847,39.23247462297544,3.961799475392055,52.944849960786854,5032304.0,81.3130004337143,18863999.0,16.72065298935484,4478074.0
4,Afghanistan,AFG,1999,0.179634586,102.9758786,61.014200824327816,34.75500107,0.779999971,79.29100037,5.31400013,39.23247462297544,3.961799475392055,52.944849960786854,5162557.0,81.3130004337143,19403676.0,16.72065298935484,4591128.0
5,Afghanistan,AFG,2000,0.959755898,103.3263601,61.014200824327816,35.73600006,0.700999975,79.16300201,5.881999969,39.23247462297544,3.961799475392055,52.944849960786854,5336840.0,81.3130004337143,20093756.0,16.72065298935484,4740034.0
6,Afghanistan,AFG,2001,0.776536942,102.9277729,61.014200824327816,36.91400146,0.620999992,78.89800262,6.460999966,39.23247462297544,3.961799475392055,52.944849960786854,5606987.0,81.3130004337143,20966463.0,16.72065298935484,4957422.0
7,Afghanistan,AFG,2002,6.267393589,102.1539589,61.014200824327816,36.36399841,0.660000026,74.50700378,5.787000179,32.38671874,3.961799475392055,52.944849960786854,5934968.0,81.3130004337143,21979923.0,16.72065298935484,5419156.0
8,Afghanistan,AFG,2003,11.75196648,101.2004851,61.014200824327816,31.86000061,0.882000029,73.73600006,5.857999802,43.55686929,8.444163227,52.944849960786854,6292828.0,81.3130004337143,23064851.0,16.72065298935484,5735695.0
9,Afghanistan,AFG,2004,17.23631859,100.1590303,0.015899882,31.62899971,0.853999972,71.6989975,6.602000237,33.99649426,1.055555787,52.944849960786854,6644955.0,81.3130004337143,24118979.0,16.72065298935484,5980296.0
